Hour,Estimated Energy
1,0.0
2,3.0
3,171.0
4,612.0
5,930.0
6,1137.0
7,1158.0
8,1371.0
9,1425.0
10,951.0
11,606.0
12,480.0
13,459.0
14,156.0
15,27.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
